Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
EVP,Eaton Vance Pennsylvania Municipal Income Trust,11.5374,$30.01M,1999,n/a,n/a,https://www.nasdaq.com/symbol/evp,
ELMD,Electromed Inc..,5.36,$44.42M,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/elmd,
ELLO,Ellomay Capital Ltd.,8.8699,$94.71M,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ello,
ECF,Ellsworth Growth and Income Fund Ltd.,9.08,$116.92M,1986,n/a,n/a,https://www.nasdaq.com/symbol/ecf,
ECF^A,Ellsworth Growth and Income Fund Ltd.,24.38,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ecf^a,
EMAN,eMagin Corporation,1.525,$68.36M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/eman,
MSN,Emerson Radio Corporation,1.45,$34.22M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/msn,
EMX,EMX Royalty Corporation,0.8601,$68.59M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/emx,
UUUU,Energy Fuels Inc,1.55,$115.3M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/uuuu,
UUUU.WS,Energy Fuels Inc,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/uuuu.ws,
ENSV,ENSERVCO Corporation,0.884,$45.32M,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ensv,
ESNC,EnSync Inc..,0.41,$22.99M,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/esnc,
EGI,Entree Resources Ltd.,0.37,$64.46M,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/egi,
EVI,EnviroStarm Inc..,39.75,$443.38M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/evi,
ERN,Erin Energy Corp.,3.6,$775.22M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ern,
ESP,Espey Mfg. & Electronics Corp.,26.6599,$63.09M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/esp,
EVBN,Evans Bancorp Inc..,45,$215.44M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/evbn,
EPM,Evolution Petroleum Corporation Inc..,8.15,$270.35M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/epm,
FEN,First Trust Energy Income and Growth Fund,21.5,$417.04M,2004,n/a,n/a,https://www.nasdaq.com/symbol/fen,
BDL,Flanigan&#39;s Enterprises Inc..,22.85,$42.47M,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/bdl,
FSI,Flexible Solutions International Inc.,1.66,$19.13M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/fsi,
FTF,Franklin Limited Duration Income Trust,11.13,$251.58M,2003,n/a,n/a,https://www.nasdaq.com/symbol/ftf,
FSP,Franklin Street Properties Corp.,8.53,$914.68M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fsp,
FRD,Friedman Industries Inc.,5.82,$40.79M,n/a,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/frd,
FTNW,FTE Networks Inc..,18.26,$102.21M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/ftnw,
GGN,GAMCO Global Gold, Natural Reources & Income Trust ,4.87,$658.98M,2005,n/a,n/a,https://www.nasdaq.com/symbol/ggn,
GGN^B,GAMCO Global Gold, Natural Reources & Income Trust ,23.5116,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ggn^b,
GST,Gastar Exploration Inc.,0.642,$141.81M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gst,
GST^A,Gastar Exploration Inc.,16.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gst^a,
GST^B,Gastar Exploration Inc.,18.25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gst^b,
JOB,GEE Group Inc.,2.63,$27.47M,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/job,
GMO,General Moly Inc.,0.368,$40.91M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gmo,
GSB,GlobalSCAPE Inc..,3.48,$75.07M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/gsb,
GSAT,Globalstar Inc..,0.7006,$884.16M,2006,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/gsat,
GLOW,Glowpoint Inc..,0.2288,$10.5M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/glow,
GORO,Gold Resource Corporation,4.48,$255.84M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/goro,
GSV,Gold Standard Ventures Corporation,1.6,$403.46M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/gsv,
AUMN,Golden Minerals Company,0.396,$36.4M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aumn,
GSS,Golden Star Resources, Ltd,0.596,$226.83M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gss,
GV,Goldfield Corporation (The),3.7,$94.17M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/gv,
GDP,Goodrich Petroleum Corporation,10.79,$122.57M,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gdp,
GTE,Gran Tierra Energy Inc.,2.74,$1.06B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gte,
GPL,Great Panther Silver Limited,1.16,$195.32M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gpl,
SIM,Grupo Simec, S.A. de C.V.,9.25,$1.53B,1993,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sim,
GVP,GSE Systems Inc..,3.3,$64.11M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/gvp,
GLF,GulfMark Offshore Inc..,29,$822.79M,2017,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/glf,
GLF.WS,GulfMark Offshore Inc..,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/glf.ws,
HEB,Hemispherx BioPharma Inc..,0.405,$12.91M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/heb,
HCAC,Hennessy Capital Acquisition Corp. III,9.91,$317.93M,2017,Finance,Business Services,https://www.nasdaq.com/symbol/hcac,
HCAC.U,Hennessy Capital Acquisition Corp. III,n/a,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/hcac.u,
HCAC.WS,Hennessy Capital Acquisition Corp. III,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hcac.ws,
HLM^,Hillman Group Capital Trust,33.74,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hlm^,
HMG,HMG/Courtland Properties Inc..,13.49,$13.52M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hmg,
HUSA,Houston American Energy Corporation,0.3023,$17.45M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/husa,
IBIO,iBio Inc..,0.228,$26.29M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ibio,
IBO,IBO (Listing Market - NYSE Amex Network B F),24.92,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ibo,
IEC,IEC Electronics Corp.,4.43,$45.27M,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/iec,
IMUC,ImmunoCellular Therapeutics, Ltd.,0.2576,$10.8M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/imuc,
IMUC.WS,ImmunoCellular Therapeutics, Ltd.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/imuc.ws,
IMH,Impac Mortgage Holdings Inc..,7.49,$156.94M,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/imh,
IMO,Imperial Oil Limited,26.16,$21.66B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/imo,
IOR,Income Opportunity Realty Investors Inc..,11.675,$48.66M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ior,
IGC,India Globalization Capital Inc.,0.5526,$16.73M,n/a,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/igc,
INFU,InfuSystems Holdings Inc..,2.7951,$63.74M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/infu,
IHT,InnSuites Hospitality Trust,1.59,$15.5M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/iht,
NSPR,InspireMD Inc.,1.35,$4.02M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nspr,
NSPR.WS,InspireMD Inc.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nspr.ws,
NSPR.WS.B,InspireMD Inc.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nspr.ws.b,
IDN,Intellicheck Inc..,1.64,$25.6M,1999,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/idn,
INS,Intelligent Systems Corporation,5.0711,$44.51M,1992,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ins,
THM,International Tower Hill Mines Ltd,0.5016,$93.49M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/thm,
INTT,inTest Corporation,6.65,$69.25M,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/intt,
INUV,Inuvo Inc.,0.928,$26.56M,n/a,Consumer Services,Advertising,https://www.nasdaq.com/symbol/inuv,
VKI,Invesco Advantage Municipal Income Trust II,10.62,$471.44M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vki,
ISR,IsoRay Inc..,0.4282,$23.59M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/isr,
ISDR,Issuer Direct Corporation,16.159,$49.01M,n/a,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/isdr,
JRJR,JRjr33 Inc..,0.1378,$6.18M,2014,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/jrjr,
KIQ,Kelso Technologies Inc,0.5899,$27.68M,n/a,Capital Goods,Railroads,https://www.nasdaq.com/symbol/kiq,
KLDX,Klondex Mines Ltd.,2.35,$422.1M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kldx,
LTS,Ladenburg Thalmann Financial Services Inc,3.23,$646.92M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/lts,
LTS^A,Ladenburg Thalmann Financial Services Inc,25.2301,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lts^a,
LTSL,Ladenburg Thalmann Financial Services Inc,24.6,n/a,2017,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsl,
LAQ,Latin America Equity Fund Inc.. (The),26.94,$200.66M,1991,n/a,n/a,https://www.nasdaq.com/symbol/laq,
LEVB,Level Brands Inc..,4.1344,$33.19M,2017,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/levb,
LGL,LGL Group Inc.. (The),5.58,$26.22M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lgl,
LBY,Libbey Inc..,5.41,$119.12M,1993,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lby,
LLEX,Lilis Energy Inc..,3.92,$236.91M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/llex,
LIQT,LiqTech International Inc..,0.5081,$22.47M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/liqt,
MAG,MAG Silver Corporation,9.99,$854.18M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/mag,
MJCO,Majesco,5.13,$187.47M,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mjco,
MHH,Mastech Digital Inc.,12.13,$66.25M,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/mhh,
MTNB,Matinas Biopharma Holdings Inc..,0.7901,$73.94M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtnb,
MNI,McClatchy Company (The),9.19,$70.83M,1988,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/mni,
IPB,Merrill Lynch & Co. Inc.. 6.0518% Index Plus Trust Certificate,27.1108,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ipb,
MXC,Mexco Energy Corporation,3.089,$6.29M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mxc,
CCA,MFS California Insured Municipal Trust,10.41,$29.01M,1999,n/a,n/a,https://www.nasdaq.com/symbol/cca,
MICR,Micron Solutions Inc..,3.8,$10.81M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/micr,
MLSS,Milestone Scientific Inc..,0.765,$25.24M,2015,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/mlss,
MVF,MuniVest Fund Inc..,8.82,$568.87M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mvf,
MZA,MuniYield Arizona Fund Inc..,15.441,$71.41M,1993,n/a,n/a,https://www.nasdaq.com/symbol/mza,
MYO,Myomo Inc.,3.06,$37.92M,2017,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/myo,
NNVC,NanoViricides Inc..,0.82,$51.97M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/nnvc,
ATEST,NASDAQ TEST STOCK,21,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest,
ATEST.A,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.a,
ATEST.B,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.b,
ATEST.C,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.c,
NHC,National HealthCare Corporation,60.01,$913.62M,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/nhc,
NAVB,Navidea Biopharmaceuticals Inc..,0.365,$59.42M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/navb,
NTIP,Network-1 Technologies Inc..,2.65,$63.95M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/ntip,
NBW,Neuberger Berman California Intermediate Municipal Fund Inc.,12.77,$70.89M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbw,
NHS,Neuberger Berman High Yield Strategies Fund,11.07,$216.31M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nhs,
NBH,Neuberger Berman Intermediate Municipal Fund Inc.,13.72,$257.92M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbh,
NML,Neuberger Berman MLP Income Fund Inc.,8.07,$457.24M,2013,n/a,n/a,https://www.nasdaq.com/symbol/nml,
NBO,Neuberger Berman New York Intermediate Municipal Fund Inc.,11.59,$58.85M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbo,
NRO,Neuberger Berman Real Estate Securities Income Fund Inc..,4.71,$223.35M,2003,n/a,n/a,https://www.nasdaq.com/symbol/nro,
UWN,Nevada Gold & Casinos Inc..,2.31,$38.92M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/uwn,
NSU,Nevsun Resources Ltd,2.26,$683.25M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nsu,
GBR,New Concept Energy Inc.,1.29,$2.89M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gbr,
NEN,New England Realty Associates Limited Partnership,68.85,$256.92M,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/nen,
NGD,New Gold Inc.,2.52,$1.46B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ngd,
NXE,Nexgen Energy Ltd.,1.73,$593.95M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nxe,
HLTH,Nobilis Health Corp.,1.7,$132.91M,2015,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/hlth,
NAK,Northern Dynasty Minerals, Ltd.,0.9013,$279.86M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nak,
NOG,Northern Oil and Gas Inc..,1.87,$123.32M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nog,
NBY,NovaBay Pharmaceuticals Inc..,3.25,$55.54M,2007,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nby,
NG,Novagold Resources Inc.,4.31,$1.39B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ng,
NTN,NTN Buzztime Inc..,5.58,$14.06M,n/a,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/ntn,
NES,Nuverra Environmental Solutions Inc..,20.6,$240.93M,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nes,
OCX,OncoCyte Corporation,1.3,$40.86M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/ocx,
OGEN,Oragenics Inc.,1.8,$8.87M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ogen,
TIS,Orchids Paper Products Company,8.41,$89.74M,2005,Basic Industries,Paper,https://www.nasdaq.com/symbol/tis,
ONP,Orient Paper Inc..,1.1,$23.6M,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/onp,
ORM,Owens Realty Mortgage Inc..,13.94,$126.73M,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/orm,
PCG^A,Pacific Gas & Electric Co.,25.511,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^a,
PCG^B,Pacific Gas & Electric Co.,24.025,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^b,
PCG^C,Pacific Gas & Electric Co.,22.28,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^c,
PCG^D,Pacific Gas & Electric Co.,21.536,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^d,
PCG^E,Pacific Gas & Electric Co.,21.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^e,
PCG^G,Pacific Gas & Electric Co.,20.62,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^g,
PCG^H,Pacific Gas & Electric Co.,19.7362,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^h,
PCG^I,Pacific Gas & Electric Co.,19.85,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^i,
PTN,Palatin Technologies Inc..,1.05,$205.14M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ptn,
PZG,Paramount Gold Nevada Corp.,1.42,$32.77M,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/pzg,
TEUM,Pareteum Corporation,2.6,$111.6M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/teum,
PRK,Park National Corporation,104.24,$1.59B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/prk,
PED,Pedevco Corp.,0.3002,$1.83M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ped,
PFNX,Pfenex Inc.,6.59,$155.42M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pfnx,
HNW,Pioneer Diversified High Income Trust,14.89,$124.08M,2007,n/a,n/a,https://www.nasdaq.com/symbol/hnw,
PLG,Platinum Group Metals Ltd.,0.3011,$45.44M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/plg,
PLYM,Plymouth Industrial REIT Inc..,16.8,$64.16M,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/plym,
PLYM^A,Plymouth Industrial REIT Inc..,24.648,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/plym^a,
PLM,Polymet Mining Corp.,0.9,$287.53M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/plm,
PW,Power REIT,6.16,$11.26M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pw,
PW^A,Power REIT,25.98,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pw^a,
PLX,Protalix BioTherapeutics Inc..,0.5141,$74.84M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/plx,
